Unique_City_ID,City,County,State_Abbr,Zip,State
white_ashwilliamsonil,White Ash,Williamson,IL,,Illinois
brodheadgreenwi,Brodhead,Green,WI,53520.0,Wisconsin
worthingtonmarionwv,Worthington,Marion,WV,26591.0,West Virginia
olathejohnsonks,Olathe,Johnson,KS,66062.0,Kansas
shermangraysontx,Sherman,Grayson,TX,75092.0,Texas
north_fairfieldhuronoh,North Fairfield,Huron,OH,44855.0,Ohio
altoonapolkia,Altoona,Polk,IA,50009.0,Iowa
new_hopemarionky,New Hope,Marion,KY,,Kentucky
kirtlandlakeoh,Kirtland,Lake,OH,,Ohio
highlandsullivanny,Highland,Sullivan,NY,,New York
thorntoncerro_gordoia,Thornton,Cerro Gordo,IA,50479.0,Iowa
brinkleymonroear,Brinkley,Monroe,AR,72021.0,Arkansas
morrisstevensmn,Morris,Stevens,MN,56267.0,Minnesota
boulder_creeksanta_cruzca,Boulder Creek,Santa Cruz,CA,95006.0,California
whitfieldmanateefl,Whitfield,Manatee,FL,,Florida
hamlin_townshipmckeanpa,Hamlin Township,McKean,PA,,Pennsylvania
roseaulake_of_the_woodsmn,Roseau,Lake of the Woods,MN,,Minnesota
moyockcurritucknc,Moyock,Currituck,NC,27958.0,North Carolina
navasotagrimestx,Navasota,Grimes,TX,77868.0,Texas
spraguevillejacksonia,Spragueville,Jackson,IA,52074.0,Iowa
san_lorenzoalamedaca,San Lorenzo,Alameda,CA,94580.0,California
port_washingtontuscarawasoh,Port Washington,Tuscarawas,OH,43837.0,Ohio
forestbrookhorrysc,Forestbrook,Horry,SC,,South Carolina
